"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.040613220E-1,1.742925644E0,-3.671740055E0,-2.522732973E0,4.783685450E0
8.090367910E-1,1.573989868E0,-3.725614548E0,-2.755203724E0,4.893750650E0
8.140122600E-1,1.353816032E0,-3.714684963E0,-2.860614538E0,4.880042803E0
8.189877290E-1,1.177871704E0,-3.558705091E0,-2.781974316E0,4.668098625E0
8.239631970E-1,9.935474396E-1,-3.244572639E0,-2.562247753E0,4.251999727E0
8.289386660E-1,6.914863586E-1,-2.868561506E0,-2.320356369E0,3.753778387E0
8.339141350E-1,2.391347885E-1,-2.530917645E0,-2.065453768E0,3.275489099E0
8.388896040E-1,-2.721643448E-1,-2.273765326E0,-1.854311705E0,2.946617397E0
8.438650720E-1,-6.707754135E-1,-2.038905621E0,-1.595997810E0,2.674749483E0
8.488405410E-1,-9.383974075E-1,-1.754224181E0,-1.295508623E0,2.374075560E0
8.538160100E-1,-1.028278351E0,-1.438645124E0,-1.081480861E0,2.072837913E0
8.587914790E-1,-1.036704063E0,-1.158509374E0,-9.441419840E-1,1.818874204E0
8.637669470E-1,-1.049853325E0,-9.274556637E-1,-6.316561103E-1,1.536670249E0
8.687424160E-1,-1.096269608E0,-6.637985706E-1,-3.362968564E-3,1.281579847E0
8.737178850E-1,-1.180513382E0,-4.574216008E-1,7.476742864E-1,1.470327584E0
8.786933540E-1,-1.269034863E0,-4.165121913E-1,1.491647840E0,2.002235042E0
8.836688220E-1,-1.271358967E0,-6.249325871E-1,2.190350294E0,2.608549170E0
8.886442910E-1,-1.045183182E0,-1.042671204E0,2.763205290E0,3.132870025E0
8.936197600E-1,-5.584974289E-1,-1.497203112E0,3.235046148E0,3.608193470E0
8.985952290E-1,8.726119995E-2,-1.875019193E0,3.640048027E0,4.095517199E0
9.035706970E-1,6.437044144E-1,-2.097085476E0,3.907477856E0,4.481127766E0
9.085461660E-1,9.733657837E-1,-2.146726847E0,4.000309467E0,4.643097343E0
9.135216350E-1,1.058548927E0,-1.978617311E0,3.934458017E0,4.529394240E0
9.184971040E-1,9.577817917E-1,-1.666357398E0,3.659526110E0,4.133548631E0
9.234725720E-1,6.530313492E-1,-1.263755679E0,3.287469149E0,3.582035980E0
9.284480410E-1,1.929798126E-1,-7.621361017E-1,2.805837631E0,2.913900729E0
9.334235100E-1,-3.216047287E-1,-2.713275850E-1,2.192507029E0,2.232517711E0
9.383989790E-1,-8.857421875E-1,1.949108839E-1,1.491515636E0,1.745608309E0
9.433744470E-1,-1.546821117E0,6.804742217E-1,7.794988155E-1,1.860999500E0
9.483499160E-1,-2.194810390E0,1.096074224E0,1.131352484E-1,2.455884960E0
9.533253850E-1,-2.548844814E0,1.343747139E0,-4.324634671E-1,2.913638775E0
9.583008540E-1,-2.548614025E0,1.421363473E0,-9.450207949E-1,3.067372145E0
9.632763220E-1,-2.281712055E0,1.397778034E0,-1.164666891E0,2.918294417E0
9.682517910E-1,-1.849517822E0,1.188863397E0,-8.898431659E-1,2.371904975E0
9.732272600E-1,-1.329073429E0,7.481756210E-1,-1.334190965E-1,1.531013911E0
9.782027290E-1,-7.636966705E-1,8.583769202E-2,8.072623610E-1,1.114573117E0
9.831781970E-1,-1.726808548E-1,-6.649827957E-1,1.637035489E0,1.775360805E0
9.881536660E-1,4.152641296E-1,-1.300606728E0,2.285919905E0,2.662602480E0
9.931291350E-1,9.287271500E-1,-1.637606621E0,2.812416315E0,3.384372186E0
9.981046040E-1,1.215699196E0,-1.698341370E0,3.155244827E0,3.783894536E0
1.003080072E0,1.282130241E0,-1.585915208E0,3.215232849E0,3.807454173E0
1.008055541E0,1.119613647E0,-1.316882730E0,2.965303421E0,3.432308148E0
1.013031010E0,5.911388397E-1,-8.500962257E-1,2.431250334E0,2.642553104E0
1.018006479E0,-2.014322281E-1,-1.914249212E-1,1.772123575E0,1.793778250E0
1.022981947E0,-1.171058178E0,6.825798154E-1,1.103391409E0,1.747788620E0
1.027957416E0,-2.226380825E0,1.662665963E0,5.542705655E-1,2.833451172E0
1.032932885E0,-3.205020428E0,2.559602499E0,8.148789406E-2,4.102482318E0
1.037908354E0,-4.012089729E0,3.352107048E0,-1.869033575E-1,5.231483396E0
1.042883822E0,-4.591284752E0,4.014225006E0,-2.523781061E-1,6.103899801E0
1.047859291E0,-4.929470062E0,4.438913822E0,-1.973574162E-1,6.636458466E0
1.052834760E0,-5.018349648E0,4.614333630E0,-1.038008928E-1,6.818114303E0
1.057810229E0,-4.892538071E0,4.575918198E0,2.779066563E-2,6.699009512E0
1.062785697E0,-4.353005886E0,4.234817028E0,2.160840034E-1,6.076925851E0
1.067761166E0,-3.354123592E0,3.702406406E0,3.986292481E-1,5.011672730E0
1.072736635E0,-2.141086102E0,3.088506460E0,5.705214143E-1,3.801133585E0
1.077712104E0,-9.435324669E-1,2.401219845E0,6.600421667E-1,2.663036973E0
1.082687572E0,1.529464722E-1,1.724331379E0,5.865581632E-1,1.827775097E0
1.087663041E0,1.005986214E0,1.246035099E0,4.078645706E-1,1.652563233E0
1.092638510E0,1.440525055E0,1.001456976E0,3.148009777E-1,1.782450045E0
1.097613979E0,1.415716171E0,1.021393299E0,3.734828234E-1,1.785213144E0
1.102589447E0,9.527797699E-1,1.246678114E0,5.976594687E-1,1.679045101E0
1.107564916E0,1.823711395E-1,1.590610743E0,8.632761240E-1,1.818941295E0
1.112540385E0,-6.320686340E-1,1.938935041E0,1.042284727E0,2.290270138E0
1.117515854E0,-1.309341908E0,2.283126354E0,1.069053888E0,2.840760179E0
1.122491322E0,-1.835886002E0,2.614656448E0,9.733862877E-1,3.339818351E0
1.127466791E0,-2.183828831E0,2.910760164E0,7.843940258E-1,3.722486680E0
1.132442260E0,-2.415919304E0,3.143997669E0,5.400865078E-1,4.001634774E0
1.137417729E0,-2.518300056E0,3.262886524E0,3.255563974E-1,4.134519393E0
1.142393197E0,-2.462858200E0,3.320890665E0,1.348631382E-1,4.136686281E0
1.147368666E0,-2.274044514E0,3.456928015E0,1.471257210E-2,4.137855267E0
1.152344135E0,-1.942829609E0,3.575890303E0,-1.504136324E-1,4.072370637E0
1.157319604E0,-1.436420441E0,3.535390854E0,-3.225770593E-1,3.829666843E0
1.162295072E0,-8.604407310E-1,3.179035187E0,-4.874482751E-1,3.329298543E0
1.167270541E0,-2.581424713E-1,2.660242558E0,-5.823859572E-1,2.735452687E0
1.172246010E0,3.416852951E-1,2.207546234E0,-6.544021368E-1,2.327713765E0
1.177221479E0,9.723339081E-1,1.995913982E0,-7.073501348E-1,2.330118037E0
1.182196947E0,1.433392525E0,1.894641876E0,-6.739566326E-1,2.469514023E0
1.187172416E0,1.720808983E0,1.745384574E0,-4.445963502E-1,2.491027254E0
1.192147885E0,1.887731552E0,1.548009515E0,-6.009340286E-4,2.441283317E0
1.197123354E0,1.991822243E0,1.397655010E0,5.002810955E-1,2.484165161E0
1.202098822E0,1.966539383E0,1.298404694E0,9.104354382E-1,2.526266926E0
1.207074291E0,1.802868843E0,1.259252787E0,1.239940166E0,2.524580215E0
1.212049760E0,1.420382500E0,1.322721243E0,1.560351729E0,2.490336413E0
1.217025229E0,8.963193893E-1,1.440897584E0,1.747478724E0,2.435827618E0
1.222000697E0,3.934307098E-1,1.561623335E0,1.644144416E0,2.301448679E0
1.226976166E0,8.811855316E-2,1.614215851E0,1.336772561E0,2.097717467E0
1.231951635E0,-1.260757446E-3,1.647490859E0,9.302597046E-1,1.891985951E0
1.236927104E0,7.684516907E-2,1.724161148E0,4.955917597E-1,1.795619124E0
1.241902572E0,1.740283966E-1,1.725229383E0,8.469665051E-2,1.736051793E0
1.246878041E0,3.093347549E-1,1.603463531E0,-2.265107632E-1,1.648663219E0
1.251853510E0,5.684394836E-1,1.445361733E0,-4.669739008E-1,1.621807205E0
1.256828979E0,9.460268021E-1,1.317720294E0,-6.652866006E-1,1.753271155E0
1.261804447E0,1.222197533E0,1.200957894E0,-6.828865409E-1,1.844559758E0
1.266779916E0,1.354384422E0,9.898875952E-1,-5.486303568E-1,1.765001383E0
1.271755385E0,1.486146927E0,7.420246601E-1,-3.149591684E-1,1.690689966E0
1.276730854E0,1.688916206E0,4.478108585E-1,-1.342425346E-1,1.752425056E0
1.281706322E0,2.052917480E0,1.785194278E-1,-2.002334595E-2,2.060762068E0
1.286681791E0,2.486865997E0,-4.418328404E-3,9.005975723E-2,2.488500105E0
1.291657260E0,2.885606766E0,-1.305057555E-1,2.768282890E-1,2.901791181E0
1.296632729E0,3.158726692E0,-2.720705271E-1,5.396081209E-1,3.216015176E0
