"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.399911040E-1,1.721732318E-1,-4.154528305E-2,-5.792371184E-2,1.863458846E-1
5.424786560E-1,1.093226820E-1,-7.989477366E-2,-4.407528415E-2,1.423982245E-1
5.449662080E-1,4.753739014E-2,-1.171789989E-1,-3.129211813E-2,1.302686374E-1
5.474537600E-1,-1.211737376E-2,-1.533979625E-1,-1.850895584E-2,1.549849898E-1
5.499413120E-1,-6.644582003E-2,-1.874863952E-1,-4.660528619E-3,1.989671227E-1
5.524288640E-1,-1.165132076E-1,-2.194443047E-1,9.187898599E-3,2.486273273E-1
5.549164160E-1,-1.633848101E-1,-2.460758984E-1,2.410159074E-2,2.963592931E-1
5.574039680E-1,-2.038648278E-1,-2.684464455E-1,3.688475490E-2,3.390941569E-1
5.598915210E-1,-2.379532605E-1,-2.865559161E-1,5.073318258E-2,3.759120948E-1
5.623790730E-1,-2.656501234E-1,-2.993390858E-1,6.351634115E-2,4.052261121E-1
5.648666250E-1,-2.858901322E-1,-3.057306707E-1,7.736477256E-2,4.256638565E-1
5.673541770E-1,-2.976080179E-1,-3.046653867E-1,9.014793485E-2,4.353368585E-1
5.698417290E-1,-2.997385561E-1,-2.950780392E-1,1.018658355E-1,4.327711863E-1
5.723292810E-1,-2.912164330E-1,-2.727074921E-1,1.157142594E-1,4.154108532E-1
5.748168330E-1,-2.731069624E-1,-2.407495826E-1,1.284974217E-1,3.860820662E-1
5.773043850E-1,-2.411490530E-1,-1.960085034E-1,1.423458606E-1,3.418106833E-1
5.797919370E-1,-1.964079887E-1,-1.395495385E-1,1.551290154E-1,2.865574692E-1
5.822794890E-1,-1.388837546E-1,-7.137266546E-2,1.689774394E-1,2.300785294E-1
5.847670410E-1,-6.644582003E-2,1.065263618E-2,1.817606091E-1,1.938180711E-1
5.872545930E-1,1.984053478E-2,1.022653133E-1,1.913479865E-1,2.178666864E-1
5.897421460E-1,1.199753210E-1,2.045306265E-1,1.977395564E-1,3.087519830E-1
