"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.476624680E-1,5.947780609E-2,-6.350861788E-1,-8.177542686E-1,1.037108532E0
9.526377290E-1,7.304477692E-2,-6.430655718E-1,-7.759737968E-1,1.010447526E0
9.576129890E-1,8.171272278E-2,-6.604169607E-1,-7.489342690E-1,1.001863299E0
9.625882500E-1,1.140842438E-1,-6.680130959E-1,-7.794256210E-1,1.032841232E0
9.675635100E-1,1.509819031E-1,-6.849544644E-1,-8.480978012E-1,1.100558056E0
9.725387700E-1,2.066726685E-1,-6.969642639E-1,-9.214158058E-1,1.173660881E0
9.775140310E-1,2.715320587E-1,-7.375391722E-1,-9.517278671E-1,1.234293167E0
9.824892910E-1,3.694210052E-1,-7.780993581E-1,-9.771990776E-1,1.302623709E0
9.874645520E-1,5.050220490E-1,-7.855553627E-1,-1.035798073E0,1.394640508E0
9.924398120E-1,6.544151306E-1,-8.127346039E-1,-1.112897396E0,1.525561311E0
9.974150720E-1,7.936697006E-1,-8.501811028E-1,-1.137029648E0,1.626516499E0
1.002390333E0,8.989982605E-1,-8.598593473E-1,-1.132326126E0,1.682176693E0
1.007365593E0,9.276943207E-1,-8.229371309E-1,-1.160865784E0,1.698661721E0
1.012340854E0,9.611577988E-1,-7.825477123E-1,-1.170031548E0,1.704458582E0
1.017316114E0,1.018465996E0,-7.386662364E-1,-1.197948933E0,1.737234135E0
1.022291375E0,1.085186005E0,-7.056043744E-1,-1.263624668E0,1.808937119E0
1.027266635E0,1.094521523E0,-6.739107370E-1,-1.300249577E0,1.828327653E0
1.032241895E0,1.075274467E0,-6.246327162E-1,-1.250910282E0,1.763847427E0
1.037217156E0,1.013265610E0,-5.340120792E-1,-1.149422169E0,1.622666761E0
1.042192416E0,9.753446579E-1,-4.544064403E-1,-1.039046288E0,1.495793971E0
1.047167677E0,9.708309174E-1,-3.854725361E-1,-9.533505440E-1,1.414206140E0
1.052142937E0,9.850835800E-1,-3.362672627E-1,-9.211483002E-1,1.389956662E0
1.057118197E0,9.511108398E-1,-2.587274909E-1,-8.710451126E-1,1.315397785E0
1.062093458E0,8.739061356E-1,-1.480180025E-1,-8.364868164E-1,1.218741752E0
1.067068718E0,8.300151825E-1,-7.068490982E-2,-8.791832924E-1,1.211150206E0
1.072043979E0,8.574743271E-1,-5.975955725E-2,-9.652814865E-1,1.292517611E0
1.077019239E0,9.416275024E-1,-9.114868939E-2,-1.066025257E0,1.425264988E0
1.081994500E0,1.039317131E0,-5.992081761E-2,-1.176581383E0,1.571023346E0
1.086969760E0,1.179004669E0,-4.775092006E-2,-1.258898258E0,1.725443996E0
1.091945020E0,1.269867897E0,-7.410465181E-2,-1.298932076E0,1.818043045E0
1.096920281E0,1.307362556E0,-8.689197898E-2,-1.249207497E0,1.810322192E0
1.101895541E0,1.267992973E0,-3.411719203E-2,-1.133787632E0,1.701306721E0
1.106870802E0,1.190429688E0,2.638052404E-2,-9.335536957E-1,1.513056931E0
1.111846062E0,1.127489090E0,7.550868392E-2,-7.581291199E-1,1.360769257E0
1.116821322E0,1.088709831E0,8.954715729E-2,-5.881991386E-1,1.240679659E0
