"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.254213030E-1,1.648495495E-1,1.788311303E-1,1.002679393E-1,2.630771879E-1
3.279089080E-1,1.744369268E-1,1.756353378E-1,8.641951531E-2,2.621914300E-1
3.303965120E-1,1.829590350E-1,1.735048145E-1,7.257108390E-2,2.623823382E-1
3.328841160E-1,1.925463974E-1,1.735048145E-1,5.872265995E-2,2.657562541E-1
3.353717200E-1,2.031990439E-1,1.756353378E-1,4.700475931E-2,2.726665926E-1
3.378593240E-1,2.127864063E-1,1.777658761E-1,3.848264739E-2,2.799279828E-1
3.403469280E-1,2.234390527E-1,1.809616536E-1,2.996053919E-2,2.890843549E-1
3.428345330E-1,2.330264151E-1,1.862879843E-1,2.250369452E-2,2.991837888E-1
3.453221370E-1,2.426137924E-1,1.926795542E-1,1.824264042E-2,3.103540830E-1
3.478097410E-1,2.522011697E-1,2.012016773E-1,1.398158539E-2,3.229288307E-1
3.502973450E-1,2.607232630E-1,2.129195631E-1,1.291632187E-2,3.368652425E-1
3.527849490E-1,2.681801319E-1,2.288985252E-1,1.291632187E-2,3.528199957E-1
3.552725530E-1,2.735064328E-1,2.491385341E-1,1.611211337E-2,3.703179419E-1
3.577601580E-1,2.767022252E-1,2.725743353E-1,2.037316747E-2,3.889420981E-1
3.602477620E-1,2.788327634E-1,3.002711833E-1,2.783001214E-2,4.107127987E-1
3.627353660E-1,2.809632719E-1,3.311638236E-1,3.741738573E-2,4.359012491E-1
3.652229700E-1,2.820285559E-1,3.652522564E-1,4.807002097E-2,4.639612527E-1
3.677105740E-1,2.841590643E-1,4.014712274E-1,6.298371404E-2,4.958754566E-1
3.701981780E-1,2.862896025E-1,4.419512451E-1,7.789740711E-2,5.323069092E-1
3.726857830E-1,2.905506492E-1,4.866923392E-1,9.387636185E-2,5.745449365E-1
3.751733870E-1,2.948117256E-1,5.314334035E-1,1.119858399E-1,6.179613615E-1
3.776609910E-1,3.001380265E-1,5.761744976E-1,1.311605871E-1,6.627691802E-1
3.801485950E-1,3.075948656E-1,6.209155321E-1,1.514005959E-1,7.092762789E-1
3.826361990E-1,3.182475269E-1,6.635261178E-1,1.716406047E-1,7.556513049E-1
3.851238030E-1,3.299654126E-1,7.050713897E-1,1.929458827E-1,8.020168026E-1
3.876114080E-1,3.427485824E-1,7.476819158E-1,2.142511457E-1,8.499461108E-1
3.900990120E-1,3.576622605E-1,7.934882641E-1,2.366216928E-1,9.019621629E-1
3.925866160E-1,3.757717609E-1,8.392946124E-1,2.600574791E-1,9.556410180E-1
3.950742200E-1,3.981422782E-1,8.872314692E-1,2.845585644E-1,1.013247517E0
3.975618240E-1,4.226433635E-1,9.362335801E-1,3.101248741E-1,1.073004272E0
4.000494280E-1,4.524707198E-1,9.799094200E-1,3.356912136E-1,1.130327747E0
4.025370330E-1,4.897549450E-1,1.013997793E0,3.601922691E-1,1.182281651E0
4.050246370E-1,5.313002467E-1,1.039564133E0,3.825628161E-1,1.228547047E0
4.075122410E-1,5.771065950E-1,1.055543065E0,3.996070325E-1,1.267639130E0
4.099998450E-1,6.271739602E-1,1.058738947E0,4.123901725E-1,1.297821632E0
4.124874490E-1,6.772413850E-1,1.048086286E0,4.198470414E-1,1.316591164E0
4.149750530E-1,7.283740044E-1,1.027846217E0,4.209122956E-1,1.328218241E0
4.174626580E-1,7.752456069E-1,9.958883524E-1,4.166512489E-1,1.329058924E0
4.199502620E-1,8.178561330E-1,9.564735889E-1,4.081291258E-1,1.322988951E0
4.224378660E-1,8.530098796E-1,9.138630629E-1,3.942807019E-1,1.310812276E0
4.249254700E-1,8.807067275E-1,8.669914603E-1,3.761712313E-1,1.291829450E0
4.274130740E-1,9.009467363E-1,8.179892898E-1,3.548659384E-1,1.267573009E0
4.299006780E-1,9.137299061E-1,7.679219246E-1,3.324954212E-1,1.239015589E0
4.323883350E-1,9.179909229E-1,7.167892456E-1,3.090596199E-1,1.204994608E0
